institution name,"DRVGR2022.Graduation rate, total cohort",HD2022.Degree of urbanization (Urban-centric locale),"EF2022D.Full-time retention rate, 2022",American Indian or Alaska Native,Asian,Black or African American,Hispanic,Native Hawaiian or Other Pacific Islander,White,Two or more races,Race/ethnicity unknown,U.S. Nonresident,EF2022A.Grand total,Cluster
Michigan State University,82.0,City: Small,89.0,0.2598804549907043,7.558523079383484,6.453031605461487,6.119185174819583,0.0599724126901625,64.8721588069488,3.8682206185154815,2.0710473182336124,8.737980528956681,50023,1
Michigan Technological University,68.0,Town: Remote,85.0,0.4530652697154184,2.2370097692198785,1.1043465949313322,2.675916749256689,0.0283165793572136,75.95922412572561,3.4121478125442444,3.851054792581056,10.278918306668556,7063,1
University of Michigan-Dearborn,56.0,City: Midsize,82.0,0.1459321415541773,8.707284446065913,7.247963030524139,6.214277027848717,0.0486440471847257,59.11467834123799,4.049616928128421,1.6660586160768578,12.805545421379058,8223,1
University of Michigan-Flint,46.0,City: Small,77.0,0.7017543859649122,3.341687552213868,12.581453634085213,5.396825396825397,0.0835421888053467,67.03425229741019,2.7234753550543025,4.979114452798664,3.1578947368421053,5985,1
Northern Michigan University,53.0,Town: Remote,73.0,1.449067431850789,0.9038737446197992,1.6499282639885222,4.002869440459111,0.0,84.8780487804878,3.601147776183644,2.539454806312769,0.975609756097561,6970,1
Oakland University,58.0,Suburb: Large,75.0,0.2110752421157189,6.499875838092874,8.443009684628757,4.407747703004718,0.0869133349888254,68.32008939657314,3.786938167370251,3.551030543829153,4.693320089396573,16108,1
Saginaw Valley State University,50.0,Suburb: Midsize,72.0,0.3497971176717503,1.0633832377221213,7.723520358192248,5.023086609766335,0.01399188470687,76.80145515600951,3.260109136700714,2.5325311319434727,3.232125367286973,7147,1
Wayne State University,60.0,City: Large,84.0,0.2242911553110452,11.531950909860347,14.942869234024544,6.161658908167584,0.0465509944985188,55.785019043588655,3.846804909013965,2.187896741430385,5.272958104104951,23630,1
Western Michigan University,55.0,City: Small,77.0,0.4,3.0176470588235293,8.135294117647058,7.876470588235295,0.0588235294117647,66.94705882352942,3.6941176470588233,1.8235294117647056,8.047058823529412,17000,1
Bemidji State University,50.0,Town: Remote,71.0,3.156848123291076,1.6902808849117572,2.435993040019885,3.0574198359433256,0.0497141436738752,76.9326373353219,5.021128511061397,6.0154113845389015,1.6405667412378822,4023,1
Minnesota State University-Mankato,53.0,City: Small,76.0,0.3084304318026045,3.666895133653187,5.442083618917066,5.503769705277587,0.047978067169294,71.30911583276217,3.056888279643592,1.2405757368060315,9.424263193968471,14590,1
Metropolitan State University,33.0,City: Large,64.0,0.5401970130282808,15.792818557356211,27.820146170956463,6.974896727041627,0.0476644423260247,41.05497299014935,3.74960279631395,1.0645058786145534,2.9551954242135365,6294,1
University of Minnesota-Twin Cities,84.0,City: Large,90.0,0.3821308343189882,10.637794559184789,6.823764898553362,5.64825766536257,0.0691474843053407,57.82185424438177,4.163406423437358,5.025930306614503,9.427713583841326,54955,1
University of Minnesota-Crookston,53.0,Town: Distant,71.0,1.4763352149370386,2.822405557967868,4.081632653061225,3.64741641337386,0.0868432479374728,75.37993920972644,2.4750325662179766,7.121146330872774,2.909248805905341,2303,1
University of Minnesota-Duluth,62.0,City: Small,77.0,0.909560723514212,3.10077519379845,2.0465116279069764,3.3385012919896644,0.0310077519379845,73.97416020671834,3.472868217054263,11.44186046511628,1.6847545219638245,9675,1
University of Minnesota-Morris,58.0,Town: Remote,72.0,12.734082397003746,1.5917602996254685,2.9962546816479403,6.273408239700375,0.0,54.21348314606742,17.790262172284642,1.310861423220974,3.089887640449438,1068,4
Minnesota State University Moorhead,55.0,Suburb: Midsize,72.0,0.7689021785561726,1.687313114053823,4.784280222127296,3.865869286629645,0.0640751815463477,80.5211448099103,4.143528406663819,1.196070055531824,2.9688167449807774,4682,1
Saint Cloud State University,44.0,City: Small,69.0,0.2879078694817658,4.203454894433781,7.869481765834934,4.021113243761996,0.0479846449136276,62.76391554702495,3.109404990403071,6.122840690978887,11.573896353166989,10420,1
Southwest Minnesota State University,41.0,Town: Remote,67.0,0.3174603174603174,1.7604617604617605,3.3910533910533918,5.036075036075037,0.0288600288600288,78.62914862914863,2.929292929292929,5.815295815295815,2.092352092352092,6930,1
