institution name,American Indian or Alaska Native,Asian,Black or African American,Hispanic,Native Hawaiian or Other Pacific Islander,White,Two or more races,Race/ethnicity unknown,U.S. Nonresident,EF2022A.Grand total,Cluster
University of California-Santa Barbara,0.1514004542013626,17.846328538985617,2.0552611657834974,23.58440575321726,0.10219530658591976,31.86222558667676,7.778198334595003,2.3959121877365632,14.224072672218016,26420,5
University of California-Santa Cruz,0.10267994660642776,21.798952664544615,1.837971044255057,26.55303419242222,0.13861792791867747,32.28257521306089,7.937159872676866,2.0433309374679123,7.305678201047336,19478,4
California Christian College,0.0,7.6923076923076925,23.076923076923077,30.76923076923077,0.0,30.76923076923077,0.0,7.6923076923076925,0.0,13,3
Haven University,0.0,10.0,3.75,1.25,0.0,0.0,0.0,1.25,83.75,80,5
California Institute of the Arts,0.3472222222222222,7.916666666666666,4.583333333333333,12.291666666666666,0.1388888888888889,33.68055555555556,5.416666666666667,3.2638888888888893,32.361111111111114,1440,5
California State University Maritime Academy,0.7067137809187279,10.71849234393404,2.5912838633686692,22.37926972909305,0.8244994110718492,46.996466431095406,9.77620730270907,5.535924617196701,0.47114252061248524,849,4
Chapman University,0.14979029358897544,17.44557619332934,2.296784501697623,17.99480726982225,0.27960854803275415,45.54623527062113,7.9688436189334935,4.044337926902337,4.274016377072099,10014,4
Charles R Drew University of Medicine and Science,0.0,16.216216216216218,33.46203346203346,15.958815958815958,0.9009009009009009,8.751608751608751,17.503217503217503,7.207207207207207,0.0,777,4
Concordia University-Irvine,0.3205128205128205,8.039529914529915,5.368589743589744,25.774572649572647,0.37393162393162394,47.56944444444444,5.31517094017094,2.8044871794871797,4.433760683760684,3744,3
San Diego Christian College,1.6901408450704223,2.535211267605634,7.605633802816901,39.436619718309856,1.4084507042253522,30.422535211267604,6.760563380281689,7.323943661971831,2.8169014084507045,355,3
Claremont McKenna College,0.07199424046076314,15.478761699064075,5.903527717782577,16.27069834413247,0.21598272138228944,35.42116630669546,7.055435565154787,4.175665946724262,15.406767458603312,1389,5
University of Silicon Valley,1.282051282051282,19.743589743589745,9.230769230769232,22.30769230769231,0.2564102564102564,27.692307692307693,11.282051282051283,6.666666666666667,1.5384615384615385,390,4
Columbia College Hollywood,2.405498281786942,6.529209621993128,16.151202749140893,11.683848797250858,1.0309278350515463,39.51890034364261,7.560137457044673,12.027491408934708,3.0927835051546393,291,4
Design Institute of San Diego,1.9801980198019802,15.841584158415841,8.91089108910891,20.792079207920793,0.0,47.524752475247524,0.9900990099009901,3.9603960396039604,0.0,101,3
Dominican University of California,0.31965903036760784,25.03995737879595,4.049014384656367,21.6302610548748,0.31965903036760784,26.584976025572722,4.954714970697922,2.503995737879595,14.597762386787426,1877,5
Fresno Pacific University,0.8245382585751979,5.738786279683377,5.310026385224274,57.42084432717678,0.46174142480211083,23.977572559366756,0.758575197889182,3.5290237467018466,1.978891820580475,3032,3
Harvey Mudd College,0.43383947939262474,22.342733188720175,5.856832971800434,20.607375271149674,0.21691973969631237,24.945770065075923,10.52060737527115,5.42299349240781,9.652928416485901,922,4
Holy Names University,0.31282586027111575,7.194994786235662,16.371220020855056,23.56621480709072,1.4598540145985401,16.26694473409802,8.86339937434828,20.020855057351408,5.943691345151199,959,4
California State Polytechnic University-Humboldt,1.8091286307053942,2.8381742738589213,2.970954356846473,29.925311203319506,0.2987551867219917,50.32365145228216,6.655601659751037,4.597510373443983,0.5809128630705395,6025,3
Humphreys University-Stockton and Modesto Campuses,0.2544529262086514,7.37913486005089,6.870229007633588,33.587786259541986,0.5089058524173028,26.717557251908396,2.2900763358778624,2.5445292620865136,19.84732824427481,393,3
Life Pacific University,0.6,3.8,7.6,37.4,0.2,39.6,6.2,3.8,0.8,500,3
University of La Verne,0.2296008477569763,5.616389968209114,7.771105616389969,58.866125044154,0.47686329918756626,17.855881314023314,3.2320734722712823,2.0840692334864004,3.8678912045213703,5662,3
Laguna College of Art and Design,0.5263157894736842,15.0,2.368421052631579,22.105263157894736,0.39473684210526316,46.578947368421055,6.973684210526315,0.5263157894736842,5.526315789473684,760,4
Southern California Seminary,0.0,15.686274509803921,11.76470588235294,13.725490196078432,1.3071895424836601,51.633986928104584,5.88235294117647,0.0,0.0,153,4
La Sierra University,0.37174721189591076,16.41883519206939,6.629491945477076,47.52168525402726,0.6815365551425031,12.577447335811648,5.080545229244114,0.37174721189591076,10.346964064436182,1614,3
Southern California University of Health Sciences,0.061124694376528114,15.036674816625917,6.0513447432762835,26.65036674816626,0.36674816625916873,23.288508557457213,3.3618581907090466,22.00488997555012,3.1784841075794623,1636,3
The Master's University and Seminary,0.7290867229470452,5.947812739831159,2.1488871834228704,22.601688411358403,0.4604758250191865,57.866462010744435,4.758250191864928,5.103607060629317,0.38372985418265537,2606,1
Loyola Marymount University,0.05902606984751599,9.85735366453517,7.270044269552385,25.597638957206097,0.08853910477127398,39.773733398917855,6.797835710772258,0.2754549926217413,10.2803738317757,10165,3
Menlo College,0.75,8.625,3.5000000000000004,31.25,2.375,16.75,10.0,4.875,21.875,800,4
Mount Saint Mary's University,0.12295081967213116,14.631147540983608,6.721311475409836,54.05737704918033,0.32786885245901637,11.926229508196721,1.0655737704918031,10.081967213114753,1.0655737704918031,2440,3
National University,0.3649830926949707,7.33723364285331,10.691857656593848,34.42649347861092,0.789007568031775,31.093339058558318,5.195641672481348,10.058504642799635,0.04293918737587891,18631,3
Newschool of Architecture and Design,2.0408163265306123,10.884353741496598,8.16326530612245,27.55102040816326,0.0,31.97278911564626,3.4013605442176873,4.421768707482993,11.564625850340136,294,3
