institution name,"DRVGR2022.Graduation rate, American Indian or Alaska Native","DRVGR2022.Graduation rate, Asian/Native Hawaiian/Other Pacific Islander","DRVGR2022.Graduation rate, Asian","DRVGR2022.Graduation rate, Native Hawaiian or Other Pacific Islander","DRVGR2022.Graduation rate, Black, non-Hispanic","DRVGR2022.Graduation rate, Hispanic","DRVGR2022.Graduation rate, White, non-Hispanic","DRVGR2022.Graduation rate, two or more races","DRVGR2022.Graduation rate, Race/ethnicity unknown","DRVGR2022.Graduation rate, U.S. Nonresident",HD2022.Degree of urbanization (Urban-centric locale),HD2022.Institution size category,Cluster
Dickinson State University,0.0,0.0,,0.0,25.0,31.0,48.0,14.0,100.0,40.0,Town: Remote,"1,000 - 4,999",6
Mayville State University,,0.0,,0.0,0.0,29.0,42.0,17.0,100.0,50.0,Rural: Remote,"1,000 - 4,999",3
Minot State University,0.0,29.0,33.0,0.0,21.0,29.0,45.0,33.0,67.0,68.0,Town: Remote,"1,000 - 4,999",6
University of North Dakota,40.0,69.0,69.0,,39.0,58.0,64.0,69.0,64.0,39.0,City: Small,"10,000 - 19,999",2
North Dakota State University-Main Campus,50.0,57.0,57.0,50.0,36.0,48.0,65.0,53.0,65.0,73.0,City: Midsize,"10,000 - 19,999",2
Valley City State University,0.0,0.0,,0.0,22.0,50.0,51.0,33.0,100.0,43.0,Town: Remote,"1,000 - 4,999",6
University of Akron Main Campus,9.0,66.0,66.0,,20.0,35.0,54.0,36.0,47.0,60.0,City: Midsize,"10,000 - 19,999",2
Bowling Green State University-Main Campus,0.0,73.0,76.0,50.0,43.0,51.0,65.0,45.0,61.0,69.0,Town: Fringe,"10,000 - 19,999",2
Central State University,,,,,24.0,25.0,0.0,33.0,60.0,100.0,Rural: Fringe,"5,000 - 9,999",4
University of Cincinnati-Main Campus,50.0,79.0,79.0,50.0,63.0,67.0,73.0,69.0,62.0,75.0,City: Large,"20,000 and above",0
Cleveland State University,0.0,56.0,57.0,0.0,25.0,41.0,55.0,38.0,53.0,66.0,City: Large,"10,000 - 19,999",2
Kent State University at Kent,57.0,73.0,73.0,67.0,54.0,61.0,66.0,65.0,65.0,60.0,Suburb: Large,"20,000 and above",5
